Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20074213,2494.088839634924,USDe,Exchange,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0x4489E91a...cAFe95eE2,2024-06-12 7:19:59,OUT
20071717,4988.249487053206,USDe,Swap Compact,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Odos: Router V2,2024-06-11 22:57:47,OUT
20069449,139266.5304628121,USDe,Exec Transaction,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Odos: Router V2,2024-06-11 15:21:47,OUT
20062574,107020.4869985394,Gho Token,Swap Compact,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0x28104d4F...d56F33f95,2024-06-10 16:18:35,OUT
20061352,6628.405134679022,USDe,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061352,3993977.332480895,Gho Token,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061352,8763514.231614795,USDe,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061352,4791362.772762161,Gho Token,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061325,152787.03526115723,Gho Token,Withdraw,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x97c...447,2024-06-10 12:07:11,OUT
20061325,152523.75856060535,USDe,Withdraw,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x97c...447,2024-06-10 12:07:11,IN
20061325,24316.040778414674,Gho Token,0x00000000,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x000...248,2024-06-10 12:07:11,OUT
20061325,24265.76287693236,USDe,0x00000000,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x000...248,2024-06-10 12:07:11,IN
20061323,144413.3628511412,USDe,Swap,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF55B0f6F...745960442,2024-06-10 12:06:47,OUT
20061322,6515.500467724796,USDe,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061322,3954187.637241616,Gho Token,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061322,8757121.189491093,USDe,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061322,4824602.032171406,Gho Token,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061319,6499.437422345137,USDe,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20061319,3946915.053632152,Gho Token,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20061319,8750781.08335443,USDe,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20061319,4825479.070520874,Gho Token,0x60806040,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20059749,23006.04770022858,USDe,0x6522e820,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Uniswap V3: USDe-USDT 2,2024-06-10 6:49:59,OUT
